brand,product,product_image,like_number,review,mini,capacity,price,first_category,second_category
디아더마,캐롯오일,https://d33ur1yh5ph6b5.cloudfront.net/0f857394-1c50-47ab-936e-0519e4f254bf,0,16,9,30ml,23000,3,30
이니스프리,자연발효 에너지 오일,https://d33ur1yh5ph6b5.cloudfront.net/f33badec-44c6-45ba-b8c9-76cdf299354d,9,9,5,30ml,28000,3,30
눅스(NUXE),윌 프로디쥬스 멀티 드라이 오일,https://d33ur1yh5ph6b5.cloudfront.net/d6ec648c-b7d8-482c-a722-a8e4c39fa307,12,5,12,100ml,52000,3,30
로벡틴,배리어 리페어 페이스 오일,https://d33ur1yh5ph6b5.cloudfront.net/eaa47919-6a8d-42b1-901c-103802977f9d,0,7,3,30ml,39000,3,30
홀리카홀리카,굳세라 수퍼 세라마이드 에센셜 오일,https://d33ur1yh5ph6b5.cloudfront.net/8bf077a3-849f-42e5-8b9d-0e05d05717ec,1,5,2,40ml,20000,3,30
킵쿨(KEEP COOL),오션 딥 블루 오일,https://d33ur1yh5ph6b5.cloudfront.net/68ba78e0-6277-4d2a-8cd0-79c737110fba,1,4,3,25ml,27000,3,30
산다화,카멜리아 페이스 오일,https://d33ur1yh5ph6b5.cloudfront.net/ddab659e-fb1b-4abb-8236-5f815be80b32,0,5,0,30ml,35000,3,30
닥터올가,보레고 100퍼센트 퓨어 로즈힙 오일,https://d33ur1yh5ph6b5.cloudfront.net/9a895ae3-7da7-4ffc-b126-2402b4c276e0,0,4,0,30ml,49000,3,30
시드물,자연산 티트리 에센셜 오일,https://d33ur1yh5ph6b5.cloudfront.net/d3ea108a-bc0f-43a9-ae8e-e40a1cc7658a,4,0,7,10ml,11800,3,30
코라오가닉스,노니 글로우 페이스 오일,https://d33ur1yh5ph6b5.cloudfront.net/388d807a-a1b9-45ea-9b83-fa997cdb967e,0,3,0,30ml,75000,3,30
트릴로지,써티파이드 오가닉 100% 로즈힙 오일,https://d33ur1yh5ph6b5.cloudfront.net/d4b62329-8dcb-49d6-8642-ce285ffeb838,0,3,0,20ml,29000,3,30
하예진(HAYEJIN),쌀겨 오일 포 페이스,https://d33ur1yh5ph6b5.cloudfront.net/ec0787b2-19ca-4443-b0dd-2d8612828396,0,3,0,30ml,42000,3,30
쏘내추럴,컨센트레이트 프리미엄 페이셜 오일,https://d33ur1yh5ph6b5.cloudfront.net/dc8aa8e0-7c50-11e4-9734-06a6fa0000b9,9,9,1,30ml,2400,3,30
한율,달빛유자 페이스 오일,https://d33ur1yh5ph6b5.cloudfront.net/13b073cd-2aea-45d6-8aed-00870fc717d2,0,1,3,30ml,38000,3,30
리얼베리어,액티브- 브이 퍼스트 오일,https://d33ur1yh5ph6b5.cloudfront.net/268d1513-be43-44d5-8886-bb0acf437951,0,2,1,35g,38000,3,30
더샘,르 아로 페이셜 오일 [캐모마일],https://d33ur1yh5ph6b5.cloudfront.net/50ba0b76-f9dd-4c9d-806d-d8ddbb54fb55,0,2,1,35ml,20000,3,30
더샘,더마 플랜 센서티브 수딩 트리트먼트,https://d33ur1yh5ph6b5.cloudfront.net/d696a2d7-2b3d-4968-a2b8-052f6f75a961,13,152,127,30ml,22000,3,31
토리든,다이브인 저분자 히알루론산 세럼,https://d33ur1yh5ph6b5.cloudfront.net/7d686457-564f-4f74-9bbc-9a41a3fc2255,11,104,27,50ml,28000,3,31
플로우,픽 오일 에센스,https://d33ur1yh5ph6b5.cloudfront.net/b557527f-a482-4000-956f-1c717eaf4cdd,6,130,22,10ml,18000,3,31
구달,구달 청귤 비타C 잡티 세럼 플러스,https://d33ur1yh5ph6b5.cloudfront.net/62d747f8-c942-40be-bfd0-d4ccd091fb2f,35,102,54,30ml,24000,3,31
미샤,타임레볼루션 개똥쑥 트리트먼트 에센스,https://d33ur1yh5ph6b5.cloudfront.net/033256ea-382c-4b6a-ae82-6eaa8707a2eb,4,84,27,150ml,42000,3,31
보타니티,플라본 세럼,https://d33ur1yh5ph6b5.cloudfront.net/a426db1a-9da8-479c-9e58-34877f59c486,6,70,51,50ml,24000,3,31
이즈앤트리,히알루론산 워터 에센스,https://d33ur1yh5ph6b5.cloudfront.net/49c4fc6c-1f60-49ed-8f48-0abc4392385c,4,67,48,50ml,26000,3,31
이니스프리,그린티 씨드 세럼,https://d33ur1yh5ph6b5.cloudfront.net/ba98c532-0814-49d2-b045-efc162f5dcf2,47,48,60,80ml,24000,3,31
이니스프리,비자 시카 젤,https://d33ur1yh5ph6b5.cloudfront.net/8f036746-1d1b-4ffe-a908-b18a8cf08583,9,74,46,40ml,22000,3,31
아이소이,불가리안 로즈 인텐시브 리프팅 세럼 [코어탄력세럼],https://d33ur1yh5ph6b5.cloudfront.net/d9176aa5-73f4-4012-bb5f-d0c6624599da,3,62,53,35ml,52000,3,31
닥터벨머,시카 펩타이트 앰플,https://d33ur1yh5ph6b5.cloudfront.net/c24e4dbb-b39b-47f1-811b-98fa0538f3f7,1,67,43,45ml,32000,3,31
미샤,비폴렌 리뉴 앰풀러,https://d33ur1yh5ph6b5.cloudfront.net/225544d3-75d2-4692-9aa3-19220d3e0332,4,71,18,40ml,28000,3,31
마녀공장,블레미시 랩 프록실 앰플,https://d33ur1yh5ph6b5.cloudfront.net/1a8fd531-783b-455b-b606-db1602e62c3a,5,61,41,30ml,29000,3,31
아이소이,불가리안 로즈 블레미쉬 케어 세럼Ⅱ [잡티세럼],https://d33ur1yh5ph6b5.cloudfront.net/5706101d-8584-499c-8905-596b0902384b,2,51,12,35ml,49000,3,31
프리메라,와일드 씨드 퍼밍 세럼,https://d33ur1yh5ph6b5.cloudfront.net/15800b49-2721-49cc-b7ae-ebb03bd0a5ca,1,51,12,50ml,65000,3,31
닥터슈라클,티트리 퓨리파인 95 에센스,https://d33ur1yh5ph6b5.cloudfront.net/2c29a875-610a-4338-ad27-3b1a6905a5d8,5,46,17,50ml,32000,3,31
어퓨,산뽕나무 잡티 앰플,https://d33ur1yh5ph6b5.cloudfront.net/51809700-7791-4750-9b2f-d74018a4d548,3,39,10,30ml,18000,3,31
어퓨,마데카소사이드 앰플,https://d33ur1yh5ph6b5.cloudfront.net/6c8232ef-7c30-4a9c-9b0a-9466725016d0,9,36,19,30ml,16000,3,31
이니스프리,올리브 리얼 로션 Ex.,https://d33ur1yh5ph6b5.cloudfront.net/beee72f9-ad59-415c-9643-78c1df8a6c19,45,34,95,160ml,16000,3,32
이니스프리,그린티 밸런싱 로션,https://d33ur1yh5ph6b5.cloudfront.net/b16d5dce-ef74-499d-853b-bf4247419c80,98,24,69,160ml,16000,3,32
킵쿨(KEEP COOL),수드 대나무 로션,https://d33ur1yh5ph6b5.cloudfront.net/e60d639d-1556-45f2-8a9a-965ad6fac84e,5,30,4,150ml,21000,3,32
하다라보,고쿠쥰 로션,https://d33ur1yh5ph6b5.cloudfront.net/336aab08-52b5-4ee9-836e-7aa1a13c55f4,19,27,32,170ml,22000,3,32
닥터오라클,안티박 더마 밸런싱 에센스로션,https://d33ur1yh5ph6b5.cloudfront.net/f848e156-70fe-4142-9f41-8707a649db16,3,27,8,110ml,38000,3,32
피지오겔,피지오겔 로션,https://d33ur1yh5ph6b5.cloudfront.net/d14cb0d9-3a7b-11e4-9866-06f4fe0000b5,30,10,19,200ml,33000,3,32
이니스프리,비자 안티 트러블 로션,https://d33ur1yh5ph6b5.cloudfront.net/e6de38e0-d8c7-4734-ad1a-d2bdfd038631,32,14,22,100ml,13000,3,32
라운드랩,1025 독도 로션,https://d33ur1yh5ph6b5.cloudfront.net/ccbeee2f-5430-4a06-a957-dfdecd41938f,11,8,18,200ml,20000,3,32
에뛰드하우스,순정 10무 수분 에멀전,https://d33ur1yh5ph6b5.cloudfront.net/2dbebe9a-1105-4519-a190-8593f4b55187,2,7,16,72ml,8000,3,32
피지오겔,데일리 모이스쳐 테라피 페이셜 로션,https://d33ur1yh5ph6b5.cloudfront.net/23756bfb-5f64-4a7e-b82c-4638ae496f76,3,9,14,200ml,25200,3,32
더샘,어반 에코 하라케케 에멀젼,https://d33ur1yh5ph6b5.cloudfront.net/492c1cb8-7af9-4c13-a940-58835deef905,57,20,33,140ml,14000,3,32
프리메라,오가니언스 에멀젼,https://d33ur1yh5ph6b5.cloudfront.net/d6bac36d-7c4c-11e4-a550-06f4fe0000b5,15,4,1,150ml,28000,3,32
닥터벨머,데일리리페어 모이스처라이저,https://d33ur1yh5ph6b5.cloudfront.net/866d9d9c-3ba5-414a-b34f-76a4272a2f0d,2,5,13,120ml,20000,3,32
크리니크,드라마티컬리 디퍼런트 모이스춰라이징 로션,https://d33ur1yh5ph6b5.cloudfront.net/d28b35ed-3f11-11e4-ae91-06a6fa0000b9,10,7,8,125ml,47000,3,32
홀리카홀리카,스킨 앤 굳세라 울트라 에멀전,https://d33ur1yh5ph6b5.cloudfront.net/3bbbf7b7-3a70-11e4-92f0-06fd000000c2,4,13,9,130ml,14900,3,32
프리메라,와일드 피치 포어 에멀젼,https://d33ur1yh5ph6b5.cloudfront.net/d28f41ae-7c4c-11e4-98b2-06ebb80000ba,22,3,5,150ml,28000,3,32
더페이스샵,망고씨드 실크보습 로션,https://d33ur1yh5ph6b5.cloudfront.net/be5bf2d3-e918-4035-8a39-2482c3221972,14,8,16,125ml,16900,3,32
키엘,울트라 훼이셜 모이스처라이저,https://d33ur1yh5ph6b5.cloudfront.net/6cb303d9-3fe1-11e4-a530-06530c0000b4,7,3,3,125ml,39000,3,32
더샘,더마 플랜 그린 트러블 패드,https://d33ur1yh5ph6b5.cloudfront.net/25c17a01-f90c-4d97-98a8-8c4e74967e41,17,70,53,130ml,13000,3,33
더샘,더마 플랜 필링 토너 패드,https://d33ur1yh5ph6b5.cloudfront.net/0a50c374-67eb-48a4-b2cb-e49f3ea36cd8,15,70,48,70ea,18000,3,33
더마토리,하이포알러제닉 시카 레스큐 거즈 패드,https://d33ur1yh5ph6b5.cloudfront.net/12b44760-4743-420e-a8c4-c07816eab631,22,76,29,60ea,22000,3,33
코스알엑스,원스텝 오리지널 클리어 패드,https://d33ur1yh5ph6b5.cloudfront.net/14f63144-b139-4108-96b2-bc1c7bac85ed,18,42,38,70ea,17500,3,33
콤리프,로즈 모이쳐 패드,https://d33ur1yh5ph6b5.cloudfront.net/a069f375-2d24-4c0d-a94f-ba9afc283fa8,3,26,3,80ml,25000,3,33
어바웃미,스킨 톤업 토닝 패드,https://d33ur1yh5ph6b5.cloudfront.net/5e2db862-16d5-4d0f-af1b-a88f4aac2b7b,2,23,9,135ml,20000,3,33
구달,청귤 비타C 토너패드,https://d33ur1yh5ph6b5.cloudfront.net/9df272ff-9366-4712-acd7-271ad41c5aff,8,10,8,140ml,24000,3,33
코스알엑스,원스텝 그린 히어로 카밍 패드,https://d33ur1yh5ph6b5.cloudfront.net/f3fde03e-74fe-439f-8a99-c19f41495e79,2,6,8,70ea,17500,3,33
식물나라,제주 탄산수 딥 필링 패드,https://d33ur1yh5ph6b5.cloudfront.net/fefe7cea-064d-44d2-93e5-3de24fa0b64c,3,7,6,120ml,12800,3,33
벨라몬스터,포어 아웃 솔루션 패드 [수박패드],https://d33ur1yh5ph6b5.cloudfront.net/438adb73-1096-4bb8-8baf-676871e7ee94,2,6,8,155ml,17000,3,33
미멜로디,바이탈 포메그레닛 필링패드,https://d33ur1yh5ph6b5.cloudfront.net/91148414-4ed7-4aaa-afcb-25beb30a4557,4,8,1,70ea,25000,3,33
메디큐브 (medicube),제로 모공 패드,https://d33ur1yh5ph6b5.cloudfront.net/f3e0cd2a-597e-4b2c-8003-5d798e620d7f,2,3,8,1ea,35000,3,33
라운드랩,1025 독도 패드,https://d33ur1yh5ph6b5.cloudfront.net/215c2cb5-dc1b-499a-a83c-3d29314d5b0d,7,3,4,70ea,24000,3,33
스팀베이스,테르물레 클리어 패드,https://d33ur1yh5ph6b5.cloudfront.net/447c54de-655c-4467-a67e-c7262f1b9087,0,5,1,200ml,24000,3,33
더하비스트,호박 필패드,https://d33ur1yh5ph6b5.cloudfront.net/5551f6b3-2019-4522-b448-30eaac2ca15b,0,5,0,185g,24000,3,33
코스알엑스,원스텝 모이스쳐 업 패드,https://d33ur1yh5ph6b5.cloudfront.net/8d6fdb2d-039f-4036-83cd-7b65c6c26873,1,5,1,135ml,25000,3,33
셀리맥스,지우개 패드,https://d33ur1yh5ph6b5.cloudfront.net/43db3176-095f-419f-b000-06b5df249f70,5,4,2,60ea,20000,3,33
아리얼,스트레스 릴리빙 데일리 픽 필링 패드,https://d33ur1yh5ph6b5.cloudfront.net/99cffc4b-9aca-4dc8-b20f-45e0446c9eff,2,3,3,30ea,5900,3,33
키엘,NEW 울트라 훼이셜 크림,https://d33ur1yh5ph6b5.cloudfront.net/b7430218-213c-4e59-a298-f81ab279b254,12,128,23,50ml,40000,3,34
플로우,오일수 앰플 크림,https://d33ur1yh5ph6b5.cloudfront.net/75920070-0057-44ce-831a-d35fcde5e92d,12,144,19,50ml,35000,3,34
네이처리퍼블릭,수딩 앤 모이스처 알로에베라 92% 수딩젤,https://d33ur1yh5ph6b5.cloudfront.net/f9eff8eb-3a47-11e4-ae91-06a6fa0000b9,72,41,96,300ml,4400,3,34
네이처리퍼블릭,슈퍼 아쿠아 맥스 컴비네이션 수분크림,https://d33ur1yh5ph6b5.cloudfront.net/60f39db6-2583-4cb3-acd7-4502a218e2b0,313,67,102,80ml,25000,3,34
토니모리,팬더의꿈 화이트 매직 크림,https://d33ur1yh5ph6b5.cloudfront.net/95e27599-3a18-11e4-a530-06530c0000b4,236,125,124,50g,9800,3,34
플로우,오일수 하이드라 크림,https://d33ur1yh5ph6b5.cloudfront.net/4d704fe3-8c93-43c3-af73-8a8628de44d6,4,86,13,50ml,32000,3,34
하다라보,고쿠쥰 퍼펙트젤,https://d33ur1yh5ph6b5.cloudfront.net/b83f36dd-2400-4f27-ad7d-46bb75b7ac02,1,78,47,100g,38000,3,34
히든랩,스킨 세이버 컨센트레이트,https://d33ur1yh5ph6b5.cloudfront.net/356a2d05-c01c-45e8-b953-d0667da2a29b,2,75,13,50g,38000,3,34
수려한,효비담 수분샘 크림,https://d33ur1yh5ph6b5.cloudfront.net/8e499aa3-66a0-4a00-858d-c1a91553b588,1,66,12,75ml,50000,3,34
아크네스,타겟 리페어 크림,https://d33ur1yh5ph6b5.cloudfront.net/baf9ca23-9ca1-481f-828b-7264b42ff6ff,1,63,20,50ml,20000,3,34
닥터오킴스,수크라테놀 리커버 크림,https://d33ur1yh5ph6b5.cloudfront.net/f042eacb-cbe1-496f-816d-2c760f262075,1,56,6,50ml,28000,3,34
메치니코프,프로바이오틱스 포뮬러 래디언스 크림,https://d33ur1yh5ph6b5.cloudfront.net/ba848b95-bb26-46dc-b2b0-c04af872770b,1,49,7,55ml,42000,3,34
보타닉힐 보,더마 인텐시브 시카 판테놀 블레미쉬 크림,https://d33ur1yh5ph6b5.cloudfront.net/f9022f51-05e2-4c11-bc22-da2e8d766036,3,51,1,70ml,28000,3,34
닥터지,필라그린 배리어 밤,https://d33ur1yh5ph6b5.cloudfront.net/88af505f-6b43-4bd0-a5fa-6e9b27771d5e,3,51,15,50ml,27000,3,34
더페이스샵,치아씨드 피지잡는 수분크림,https://d33ur1yh5ph6b5.cloudfront.net/9885e753-b356-49a5-a24a-adb4bff7a794,76,33,54,50ml,23000,3,34
에스트라,아토베리어365 크림 [캡슐크림],https://d33ur1yh5ph6b5.cloudfront.net/32b83ec3-655d-4bd1-883c-8d8aeb2f629e,2,36,14,80ml,28000,3,34
닥터지,레드 블레미쉬 클리어 크림,https://d33ur1yh5ph6b5.cloudfront.net/8d2f4719-f3ef-4a8f-8618-e020ecf9ffcb,2,21,40,70ml,36000,3,34
닥터지,필라그린 배리어 크림 [민감건성],https://d33ur1yh5ph6b5.cloudfront.net/fda05a53-6208-45a6-8d49-06da2117b416,1,42,14,50ml,39000,3,34
유세린,하이알루론 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/83f6ffcf-7b14-4a59-9ae9-183a7a68a135,3,88,13,15ml,51000,3,35
에이에이치씨(AHC),타임 리와인드 리얼 아이크림 포 페이스,https://d33ur1yh5ph6b5.cloudfront.net/3cb71e68-503d-4d24-9eb2-6c9f248ebdcc,3,48,5,30ml,58000,3,35
아이솔브,유스 아이 쿨링 스틱,https://d33ur1yh5ph6b5.cloudfront.net/b8f0d79f-8f70-463c-aafd-30dda6069bda,3,45,5,11g,16000,3,35
에이에이치씨(AHC),AHC 에이지리스 리얼 아이크림 포페이스,https://d33ur1yh5ph6b5.cloudfront.net/84ff15f0-6931-45b4-a25c-e8484d0c89e4,3,31,11,30ml,58000,3,35
에이에이치씨(AHC),얼티밋 리얼 아이크림 포 페이스,https://d33ur1yh5ph6b5.cloudfront.net/78b2e6ac-d635-4363-88d1-41fac4862e8f,5,32,11,30ml,15000,3,35
어퓨,락토바실러스 보습 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/7a4796f2-f551-419d-97ea-372c0db41976,0,11,1,17ml,16000,3,35
에이에이치씨(AHC),더 퓨어 리얼 아이크림 포 페이스,https://d33ur1yh5ph6b5.cloudfront.net/ad7186f2-7453-4ed3-a458-0ecda335beb7,1,6,1,12ml,25000,3,35
셀블룸(CELL BLOOM),드래곤 리펌 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/bc7e7cf1-8aa1-4733-80c5-951e08cbf606,4,5,3,30ml,59000,3,35
이니스프리,링클 사이언스 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/a2167dcb-b5d0-45a9-8595-3005f0984069,15,3,2,30ml,28000,3,35
볼카 (BoLCA+),비오떼크니 인텐시브 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/04fe2a0c-5281-44f0-bfbc-a8e05bc14ff9,0,1,4,25g,70000,3,35
이니스프리,한란 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/20e3330b-39b2-11e4-92f0-06fd000000c2,1,3,3,30ml,25000,3,35
브이디엘(VDL),콜라겐 드림 50 올페이스 아이크림 기획세트,https://d33ur1yh5ph6b5.cloudfront.net/14291491-83d2-419c-af08-2831b0c6d9cd,1,3,0,120ml,28900,3,35
마녀공장,히알루론 화이트닝 아이세럼,https://d33ur1yh5ph6b5.cloudfront.net/c80dcf42-44e3-4e7b-9198-f67fa48907c2,0,2,1,20ml,35000,3,35
스와니코코,퍼멘테이션 펩타인 아이 케어 크림[튜브형],https://d33ur1yh5ph6b5.cloudfront.net/29d728ee-9c36-4e07-a6ec-5f85008e426e,0,2,1,45ml,136000,3,35
토니모리,프리미엄 알엑스 제비집 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/bc785d46-666d-48d0-90cd-3ce24405f42a,0,2,0,30ml,50000,3,35
게리쏭,게리쏭 멀티 코렉티브 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/4d5a4f56-90e4-4cd3-810e-7be7bef301f9,1,4,0,20ml,35000,3,35
페도라,뉴 신데렐라 크림 링클 이레이저,https://d33ur1yh5ph6b5.cloudfront.net/58635473-c182-41f8-bc6b-8f46933296d7,0,2,0,7ml,20000,3,35
마녀공장,4GF 아이크림,https://d33ur1yh5ph6b5.cloudfront.net/253c1481-8243-4c7c-9c3c-d6de66a6aebc,2,1,1,30ml,35000,3,35
이니스프리,그린티 미스트 [안개분사],https://d33ur1yh5ph6b5.cloudfront.net/0ef422c9-39b2-11e4-ae91-06a6fa0000b9,84,13,36,120ml,15000,3,35
아벤느,오 떼르말 온천수 스프레이,https://d33ur1yh5ph6b5.cloudfront.net/bb73d942-b461-4e8e-956a-23f151b07bb2,175,32,68,50ml,8000,3,35
더샘,더마 플랜 크림 수딩 미스트,https://d33ur1yh5ph6b5.cloudfront.net/994920cf-7acb-4975-8357-1568ddc96e4e,0,21,21,120ml,20000,3,35
이니스프리,그린티 미스트,https://d33ur1yh5ph6b5.cloudfront.net/73856fb8-483a-4b0a-857c-d34cfd05b99a,56,33,33,150ml,12000,3,36
더샘,모히또 워터 미스트 [라임],https://d33ur1yh5ph6b5.cloudfront.net/1dafd058-3af4-11e4-ae91-06a6fa0000b9,50,7,12,100ml,5900,3,36
엘리샤코이,순수 우유 크림 미스트,https://d33ur1yh5ph6b5.cloudfront.net/1b68c91c-8762-414b-8d1f-339435eb6b87,3,8,9,120ml,27000,3,36
